ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Children_EditedObjects8_Count,Children_RelateObjects9_Count,Location_Center_X,Location_Center_Y,Number_Object_Number,Parent_EditedObjects8,Parent_IdentifyPrimaryObjects7,Division_Angle
7,13,1125.1869555312621,-,-,-,-,-,298.90768310646973,170.34858534155808,-,-,-,-,-,-,83.98779975024114,-,-,-,-,-,13.89,-1.2337893399912447,-,-,-,-,298.90768310646973,170.34858534155808,13,13,-,3.133248383774355
7,14,574.8360442251862,-,-,-,-,-,176.56471224630852,110.16763783118213,-,-,-,-,-,-,44.36570390387138,-,-,-,-,-,13.89,-0.7798737714405135,-,-,-,-,176.56471224630852,110.16763783118213,14,14,-,3.134449057105458
7,15,1242.4020449290401,-,-,-,-,-,253.768050021968,120.67439090982857,-,-,-,-,-,-,92.42661108197461,-,-,-,-,-,13.89,-0.8401727070573484,-,-,-,-,253.768050021968,120.67439090982857,15,15,-,0.0
7,16,1463.1501718403606,-,-,-,-,-,243.04742029652434,73.22219370491236,-,-,-,-,-,-,108.31920481209127,-,-,-,-,-,13.89,-1.0584419457116154,-,-,-,-,243.04742029652434,73.22219370491236,16,16,-,0.0
7,17,804.0879226867823,-,-,-,-,-,230.4331655301435,231.47421591853407,-,-,-,-,-,-,60.87051876791717,-,-,-,-,-,13.89,-1.545523412584761,-,-,-,-,230.4331655301435,231.47421591853407,17,17,-,3.1344908455915954
7,18,1327.0579806086992,-,-,-,-,-,311.46783941653746,130.48405336123545,-,-,-,-,-,-,98.52135087172688,-,-,-,-,-,13.89,-0.899345129639281,-,-,-,-,311.46783941653746,130.48405336123545,18,18,-,0.0
7,19,1002.1790616831031,-,-,-,-,-,174.7400496340315,189.19241068962864,-,-,-,-,-,-,75.13193986196474,-,-,-,-,-,13.89,-0.8094189291317515,-,-,-,-,174.7400496340315,189.19241068962864,19,19,-,0.0
7,20,668.7981705165491,-,-,-,-,-,237.8999309386398,162.63467456270322,-,-,-,-,-,-,51.13043581829635,-,-,-,-,-,13.89,-0.8758882180732009,-,-,-,-,237.8999309386398,162.63467456270322,20,20,-,3.133049050895439
7,21,1233.917111011904,-,-,-,-,-,142.50302221916303,184.43171916049553,-,-,-,-,-,-,91.81574470925061,-,-,-,-,-,13.89,-0.8453275485775036,-,-,-,-,142.50302221916303,184.43171916049553,21,21,-,0.0
7,22,875.1545144347838,-,-,-,-,-,248.9691176561568,198.8520216886267,-,-,-,-,-,-,65.98690406294968,-,-,-,-,-,13.89,1.4118131859826517,-,-,-,-,248.9691176561568,198.8520216886267,22,22,-,0.0
7,23,952.0251888205596,-,-,-,-,-,155.5641544594721,114.74330767776792,-,-,-,-,-,-,71.52114987906025,-,-,-,-,-,13.89,-0.7813179953846783,-,-,-,-,155.5641544594721,114.74330767776792,23,23,-,0.0
7,24,1211.77761845009,-,-,-,-,-,221.32280743361483,130.8530699480006,-,-,-,-,-,-,90.2218287580761,-,-,-,-,-,13.89,-0.5589083004160305,-,-,-,-,221.32280743361483,130.8530699480006,24,24,-,0.0
7,25,1206.453019250313,-,-,-,-,-,287.0402553696353,119.97480424558924,-,-,-,-,-,-,89.83848828293017,-,-,-,-,-,13.89,-0.8922298066066922,-,-,-,-,287.0402553696353,119.97480424558924,25,25,-,0.0
7,26,1278.372543300106,-,-,-,-,-,178.01179482739428,142.57533726852853,-,-,-,-,-,-,95.01627979119459,-,-,-,-,-,13.89,-1.0871373003941354,-,-,-,-,178.01179482739428,142.57533726852853,26,26,-,0.0
7,27,724.1359241568065,-,-,-,-,-,331.0954843190655,174.25915852328617,-,-,-,-,-,-,55.1144353604315,-,-,-,-,-,13.89,-0.9953275943632665,-,-,-,-,331.0954843190655,174.25915852328617,27,27,-,0.0
7,28,1088.2411058304833,-,-,-,-,-,268.8373592484014,218.62139681923992,-,-,-,-,-,-,81.32791136285603,-,-,-,-,-,13.89,-1.53977473474598,-,-,-,-,268.8373592484014,218.62139681923992,28,28,-,0.0
7,29,781.5943903552441,-,-,-,-,-,188.1125874413905,123.26956240934304,-,-,-,-,-,-,59.25111399242845,-,-,-,-,-,13.89,-1.1126209931970688,-,-,-,-,188.1125874413905,123.26956240934304,29,29,-,0.0
7,30,769.8722116046807,-,-,-,-,-,181.64822509581404,227.84043559282998,-,-,-,-,-,-,58.407184636736346,-,-,-,-,-,13.89,-1.3028770410932424,-,-,-,-,181.64822509581404,227.84043559282998,30,30,-,0.0
7,31,742.0036452757239,-,-,-,-,-,214.9279740053945,168.35458890135317,-,-,-,-,-,-,56.400808371152706,-,-,-,-,-,13.89,-0.8542364849934295,-,-,-,-,214.9279740053945,168.35458890135317,31,31,-,0.0
7,32,886.8383983959735,-,-,-,-,-,202.14681345125987,197.94407937605763,-,-,-,-,-,-,66.82807641436723,-,-,-,-,-,13.89,-0.9452872011756286,-,-,-,-,202.14681345125987,197.94407937605763,32,32,-,0.0
7,33,808.9873682712838,-,-,-,-,-,211.8424976433841,70.90111850104958,-,-,-,-,-,-,61.22325063145218,-,-,-,-,-,13.89,-0.8533371614988631,-,-,-,-,211.8424976433841,70.90111850104958,33,33,-,0.0
